objectid,parentid,item_code,title,commonname,class,order,suborder,family,bone_type,notes,location,subject,cabinet,source,rights,rightsstatement,type,format,group,display_template,language,object_location,image_small,image_thumb,
oc030,oc028,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1516r.png,/objects/small/sc1516r_sm.jpg,/objects/thumbs/sc1516r_th.jpg,
oc031,,SC 2004,Otodus megalodon,Megalodon,Chondrichthyes,Lamniformes,Selachii,Otodontidae,Fossilized Tooth,"Period: Miocene, Formation: Phosphate Beds, Found in South Florida",,Shark;Tooth;Fossil,,,,,Image;StillImage,image/jpg,artifact,compound_object,,,,,
oc032,oc031,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc2004.png,/objects/small/sc2004_sm.jpg,/objects/thumbs/sc2004_th.jpg,
oc033,oc031,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc2004r.png,/objects/small/sc2004r_sm.jpg,/objects/thumbs/sc2004r_th.jpg,
oc034,,SC 2005,Otodus megalodon,Megalodon,Chondrichthyes,Lamniformes,Selachii,Otodontidae,Fossilized Tooth,"Period: Miocene, Formation: Phosphate Beds, Found in South Florida",,Shark;Tooth;Fossil,,,,,Image;StillImage,image/jpg,artifact,compound_object,,,,,
oc035,oc034,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc2005.png,/objects/small/sc2005_sm.jpg,/objects/thumbs/sc2005_th.jpg,
oc036,oc034,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc2005r.png,/objects/small/sc2005r_sm.jpg,/objects/thumbs/sc2005r_th.jpg,
oc037,,SC 1492,Necturus maculosus,Mudpuppy ,Amphibia,Caudata,Salamandroidea,Proteidae,Full Mounted Skeleton ,Specimen in glass casing ,,Salamander;Amphibian;Mounted;Skeleton,,,,,Image;StillImage,image/jpg,artifact,compound_object,,,,,
oc038,oc037,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1492.png,/objects/small/sc1492_sm.jpg,/objects/thumbs/sc1492_th.jpg,
oc039,oc037,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1492r.png,/objects/small/sc1492r_sm.jpg,/objects/thumbs/sc1492r_th.jpg,
oc040,,SC 1493,Necturus maculosus,Mudpuppy ,Amphibia,Caudata,Salamandroidea,Proteidae,Skull ,"Specimen in glass casing, skull disarticulated",,Salamander;Amphibian;Skull;Disarticulated,,,,,Image;StillImage,image/jpg,artifact,compound_object,,,,,
oc041,oc040,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1493.png,/objects/small/sc1493_sm.jpg,/objects/thumbs/sc1493_th.jpg,
oc042,oc040,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1493r.png,/objects/small/sc1493r_sm.jpg,/objects/thumbs/sc1493r_th.jpg,
oc043,,SC 1494,Necturus maculosus,Mudpuppy ,Amphibia,Caudata,Salamandroidea,Proteidae,Skull ,"Specimen in glass casing, skull disarticulated",,Salamander;Amphibian;Skull;Disarticulated,,,,,Image;StillImage,image/jpg,artifact,compound_object,,,,,
oc044,oc043,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1494.png,/objects/small/sc1494_sm.jpg,/objects/thumbs/sc1494_th.jpg,
oc045,oc043,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1494r.png,/objects/small/sc1494r_sm.jpg,/objects/thumbs/sc1494r_th.jpg,
